YEAR,TOPONIMIA,TIPO,VAL
2021,Valverde,9,4
2017,Distrito Nacional,I,2
2017,Azua,I,0
2017,Bahoruco,I,0
2017,Barahona,I,0
2017,Dajabón,I,0
2017,Duarte,I,1
2017,El Seibo,I,0
2017,Elías Piña,I,0
2017,Espaillat,I,0
2017,Hato Mayor,I,0
2017,Hermanas Mirabal,I,0
2017,Independencia,I,0
2017,La Altagracia,I,0
2017,La Romana,I,0
2017,La Vega,I,1
2017,María Trinidad Sánchez,I,0
2017,Monseñor Nouel,I,0
2017,Monte Cristi,I,1
2017,Monte Plata,I,0
2017,Peravia,I,2
2017,Puerto Plata,I,2
2017,Samaná,I,0
2017,San Cristóbal,I,1
2017,San Juan,I,1
2017,San José de Ocoa,I,2
2017,San Pedro de Macorís,I,1
2017,Santiago,I,0
2017,Santiago Rodríguez,I,1
2017,Sánchez Ramírez,I,0
2017,Valverde,I,0
2017,Santo Domingo,I,2
2017,Distrito Nacional,II,10
2017,Azua,II,2
2017,Bahoruco,II,2
2017,Barahona,II,6
2017,Dajabón,II,1
2017,Duarte,II,6
2017,El Seibo,II,0
2017,Elías Piña,II,1
2017,Espaillat,II,3
2017,Hato Mayor,II,0
2017,Hermanas Mirabal,II,1
2017,Independencia,II,1
2017,La Altagracia,II,1
2017,La Romana,II,3
2017,La Vega,II,3
2017,María Trinidad Sánchez,II,1
2017,Monseñor Nouel,II,0
2017,Monte Cristi,II,1
2017,Monte Plata,II,5
2017,Peravia,II,0
2017,Puerto Plata,II,4
2017,Samaná,II,2
2017,San Cristóbal,II,13
2017,San Juan,II,6
2017,San José de Ocoa,II,1
2017,San Pedro de Macorís,II,5
2017,Santiago,II,5
2017,Santiago Rodríguez,II,1
2017,Sánchez Ramírez,II,2
2017,Valverde,II,0
2017,Santo Domingo,II,17
2017,Distrito Nacional,III,14
2017,Azua,III,2
2017,Bahoruco,III,4
2017,Barahona,III,4
2017,Dajabón,III,1
2017,Duarte,III,3
2017,El Seibo,III,1
2017,Elías Piña,III,2
2017,Espaillat,III,2
2017,Hato Mayor,III,7
2017,Hermanas Mirabal,III,2
2017,Independencia,III,1
2017,La Altagracia,III,2
2017,La Romana,III,2
2017,La Vega,III,4
2017,María Trinidad Sánchez,III,1
2017,Monseñor Nouel,III,2
2017,Monte Cristi,III,0
2017,Monte Plata,III,4
2017,Peravia,III,1
2017,Puerto Plata,III,5
2017,Samaná,III,1
2017,San Cristóbal,III,8
2017,San Juan,III,11
2017,San José de Ocoa,III,0
2017,San Pedro de Macorís,III,6
2017,Santiago,III,4
2017,Santiago Rodríguez,III,0
2017,Sánchez Ramírez,III,5
2017,Valverde,III,0
2017,Santo Domingo,III,29
2017,Distrito Nacional,IV,10
2017,Azua,IV,3
2017,Bahoruco,IV,3
2017,Barahona,IV,3
2017,Dajabón,IV,2
2017,Duarte,IV,5
2017,El Seibo,IV,1
2017,Elías Piña,IV,3
2017,Espaillat,IV,3
2017,Hato Mayor,IV,6
2017,Hermanas Mirabal,IV,1
2017,Independencia,IV,1
2017,La Altagracia,IV,2
2017,La Romana,IV,2
2017,La Vega,IV,6
2017,María Trinidad Sánchez,IV,1
2017,Monseñor Nouel,IV,5
2017,Monte Cristi,IV,2
2017,Monte Plata,IV,8
2017,Peravia,IV,5
2017,Puerto Plata,IV,4
2017,Samaná,IV,3
2017,San Cristóbal,IV,14
2017,San Juan,IV,17
2017,San José de Ocoa,IV,2
2017,San Pedro de Macorís,IV,6
2017,Santiago,IV,6
2017,Santiago Rodríguez,IV,1
2017,Sánchez Ramírez,IV,1
2017,Valverde,IV,1
2017,Santo Domingo,IV,35
2017,Distrito Nacional,9,80
2017,Azua,9,29
2017,Bahoruco,9,16
2017,Barahona,9,35
2017,Dajabón,9,5
2017,Duarte,9,40
2017,El Seibo,9,10
2017,Elías Piña,9,11
2017,Espaillat,9,29
2017,Hato Mayor,9,10
2017,Hermanas Mirabal,9,12
2017,Independencia,9,10
2017,La Altagracia,9,19
2017,La Romana,9,11
2017,La Vega,9,33
2017,María Trinidad Sánchez,9,16
2017,Monseñor Nouel,9,18
2017,Monte Cristi,9,10
2017,Monte Plata,9,30
2017,Peravia,9,31
2017,Puerto Plata,9,17
2017,Samaná,9,11
2017,San Cristóbal,9,60
2017,San Juan,9,59
2017,San José de Ocoa,9,18
2017,San Pedro de Macorís,9,35
2017,Santiago,9,18
2017,Santiago Rodríguez,9,8
2017,Sánchez Ramírez,9,25
2017,Valverde,9,3
2017,Santo Domingo,9,128
2018,Distrito Nacional,I,1
2018,Azua,I,2
2018,Barahona,I,0
2018,Dajabón,I,0
2018,Duarte,I,1
2018,Elías Piña,I,0
2018,El Seibo,I,0
2018,Espaillat,I,0
2018,Independencia,I,0
2018,La Altagracia,I,0
2018,La Romana,I,0
2018,La Vega,I,0
2018,María Trinidad Sánchez,I,0
2018,Monte Cristi,I,0
2018,Pedernales,I,0
2018,Peravia,I,1
2018,Puerto Plata,I,0
2018,Hermanas Mirabal,I,0
2018,Samaná,I,0
2018,San Cristóbal,I,0
2018,San Juan,I,0
2018,San Pedro de Macorís,I,0
2018,Sánchez Ramírez,I,0
2018,Santiago,I,0
2018,Santiago Rodríguez,I,0
2018,Valverde,I,0
2018,Monseñor Nouel,I,0
2018,Monte Plata,I,0
2018,Hato Mayor,I,0
2018,San José de Ocoa,I,0
2018,Santo Domingo,I,13
2018,Distrito Nacional,II,10
2018,Azua,II,1
2018,Barahona,II,1
2018,Dajabón,II,1
2018,Duarte,II,0
2018,Elías Piña,II,0
2018,El Seibo,II,1
2018,Espaillat,II,0
2018,Independencia,II,0
2018,La Altagracia,II,1
2018,La Romana,II,0
2018,La Vega,II,0
2018,María Trinidad Sánchez,II,0
2018,Monte Cristi,II,0
2018,Pedernales,II,0
2018,Peravia,II,2
2018,Puerto Plata,II,0
2018,Hermanas Mirabal,II,0
2018,Samaná,II,0
2018,San Cristóbal,II,4
2018,San Juan,II,3
2018,San Pedro de Macorís,II,5
2018,Sánchez Ramírez,II,0
2018,Santiago,II,0
2018,Santiago Rodríguez,II,0
2018,Valverde,II,0
2018,Monseñor Nouel,II,0
2018,Monte Plata,II,2
2018,Hato Mayor,II,0
2018,San José de Ocoa,II,0
2018,Santo Domingo,II,48
2018,Distrito Nacional,III,13
2018,Azua,III,1
2018,Barahona,III,2
2018,Dajabón,III,1
2018,Duarte,III,2
2018,Elías Piña,III,0
2018,El Seibo,III,0
2018,Espaillat,III,0
2018,Independencia,III,2
2018,La Altagracia,III,0
2018,La Romana,III,3
2018,La Vega,III,1
2018,María Trinidad Sánchez,III,0
2018,Monte Cristi,III,1
2018,Pedernales,III,1
2018,Peravia,III,1
2018,Puerto Plata,III,0
2018,Hermanas Mirabal,III,0
2018,Samaná,III,1
2018,San Cristóbal,III,7
2018,San Juan,III,2
2018,San Pedro de Macorís,III,2
2018,Sánchez Ramírez,III,1
2018,Santiago,III,0
2018,Santiago Rodríguez,III,0
2018,Valverde,III,1
2018,Monseñor Nouel,III,0
2018,Monte Plata,III,3
